DEPARTMENT_finishing,DEPARTMENT_sweing,TEAM_1,TEAM_2,TEAM_3,TEAM_4,TEAM_5,TEAM_6,TEAM_7,TEAM_8,TEAM_9,TEAM_10,TEAM_11,TEAM_12,TARGETED_PRODUCTIVITY,SMV,WIP,OVER_TIME,INCENTIVE,IDLE_TIME,IDLE_MEN,NO_OF_STYLE_CHANGE,NO_OF_WORKERS,ACTUAL_PRODUCTIVITY
1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.020131629887727445,0.0,0.064,0.0,0.0,0.0,0.0,0.06896551724137931,0.8865
0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.4874177313201702,0.2524091919940697,0.46,0.37815126050420167,0.0,0.0,0.0,0.6379310344827587,0.750427826
1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.020131629887727445,0.0,0.064,0.0,0.0,0.0,0.0,0.06896551724137931,0.755166667
0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.32849399922570655,0.2716827279466271,0.4,0.2857142857142857,0.0,0.0,0.0,0.6091954022988506,0.753097531
0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.4874177313201702,0.29466271312083026,0.46,0.37815126050420167,0.0,0.0,0.0,0.6379310344827587,0.753683478
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.020131629887727445,0.0,0.14400000000000002,0.0,0.0,0.0,0.0,0.1839080459770115,0.593055556
0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.65,0.4024390243902439,0.3191252779836916,0.48000000000000004,0.0,0.0,0.0,0.0,0.6666666666666667,0.52118
0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.16473093302361594,0.2475908080059303,0.24400000000000002,0.42016806722689076,0.0,0.0,0.0,0.3275862068965517,0.707045902
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.44521873790166466,0.4336545589325426,0.128,0.42016806722689076,0.0,0.0,0.0,0.6206896551724138,0.800381944
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.064,0.0,0.0,0.0,0.0,0.06896551724137931,0.540729167
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.8,0.44521873790166466,0.3647146034099333,0.448,0.31932773109243695,0.0,0.0,0.0,0.6206896551724138,0.800125
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.064,0.0,0.0,0.0,0.0,0.06896551724137931,0.676666667
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.8,0.4502516453735965,0.4106745737583395,0.47200000000000003,0.8235294117647058,0.0,0.0,0.0,0.6551724137931034,0.940725424
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.7,0.4874177313201702,0.32320237212750186,0.46,0.36974789915966383,0.0,0.0,0.0,0.6379310344827587,0.721126957
